,Athlete Name,Athlete Province,Athlete or Coach,Athlete Sport,Athlete Age,Athlete Height,Athlete Weight,Athletes Clubs or Teams,Athletes Coaches Name,Athletes Team Position,Athletes Previous Games,Athletes Previous Games,Athletes Goals,Athletes Personal Best,Athletes Awards,Athletes Role Model,Athletes Media or Social Media Information,Events Participated In,Athletes Number of Gold Medals,Athletes Number of Silver Medals,Athletes Number of Bronze Medals,Athletes Placements
191,Rosalie Boissonneault,Quebec,Athlete,Artistic Swimming,15,169,50,Montréal Synchro,Karine Doré,Natation artistique,,,Mes objectifs pour les Jeux du Canada sont de donner mon 100% dans toutes les épreuves auxquelles je vais participer et remporter la médaille d’or en équipe technique et en équipe libre tout en ayant une bonne esprit d’équipe.,,J’ai reçu la bourse de la Fondation Palestre Nationale à deux reprises grâce à la Fondation de l’athlète d’excellence du Québec.,,"Je me suis mise à pratiquer le sport parce que ma sœur plus vielle, Salomé Boissonneault, pratiquait déjà la sport et ma mère, Karine Fréchette qui est entraîneure en Natation Artistique.",,0,1,0,1
192,Mélaurie Boivin,Quebec,Athlete,Figure Skating,15,5 pied,94 lb,les fines de lames de chicoutimi,Marlene Picard,aucun,,,un belle performance pour me permettre de gagné,139.00 point au combinée,"méritas du sag lac st jean en patinage artistique
méritas personnalité de l'année de école dominic racine
méritas sportif de l'année dominic racine",kaetlyn osmond,"c'est mon parrain qui adorais le patinage artistique, il ma inscrit pour ma fête et malheureusement il es décédé aujourdhui",,0,0,1,1
193,Lannette Boland,British Columbia,Athlete,Wheelchair Basketball,16,173,68,BC Breakers,Makiko Harada,Forward,lan.r.boland,lan.r.boland,"To have fun, meet new people and play good basketball",2018 BC Games Gold Medal,Achieved Principals list for 2017 and 2018,Tim Frick and my mom Cheryl Boland,Tim Frick brought Wheelchair basketball into our school to try it out.,,0,0,0,0
194,Riley Boland,Yukon,Athlete,Snowboard,13,158,41,Snowboard Yukon,Robert Faulds,N/A,N/A,N/A,My goals for the games are to improve my riding; learn in a different environment; meet some other female riders and have a good time.,First place slope style - Yukon Championships,"Shredder of the year - 2016, Sportsperson of the year - 2016, Female athlete of the year -2018,",,My dad taught me to ride when I was seven and I have progressed from there.,,0,0,0,0
195,Zachary Bolduc,Quebec,Athlete,Hockey,16,183,73,Estacades Midget AAA,"Frédéric Lavoie, Denis Francoeur, Sébastien Lemay, Francis Nolin",Joueur de Centre/ Hockey,,,"Remporter la médaille d'or, rien de moins, et bien contribuer",J'essaie de bien participer,"J'ai été élu le joueur le plus utile à mon équipe l'an passé avec les Panthères de l'Académie de Hockey Denis Francoeur du CMI dans la LHPS et je viens tout juste, en janvier 2019, de recevoir une Bourse de la Fondation de l'athlète d'excellence du Québec","Connor McDavid, Sidney Crosby et Jonathan Toews parce qu'ils sont bons, humbles et sympathiques.","Tout jeune, vers l'âge de 3 ans, je jouais au hockey sur les patinoires extérieures du village avec mon père, ma mère et ma grande sœur.",,1,0,0,1
196,Bryson Bolianatz,Saskatchewan,Athlete,Wheelchair Basketball,18,160,58,Team Saskatchewan,Katie Miyazaki,,,,To gain experience and have fun. Also I want to play to my fullest potential and ability.,Being chosen for team Saskatchewan,,"Mike Brady
Pat Anderson",Wanted a fun activity that I could do as a para athlete,,0,0,0,0
197,Tanner Bolianatz,Saskatchewan,Athlete,Wheelchair Basketball,18,188,63.5,Team Sask,Katie Miyazaki,,,,Have fun with my teammates and experience a national event. I want to play to the best of my ability and always give it my all.,Gold,All Star team at CWBL Finals,,My brother has a disability and wheelchair basketball is a sport we can play together. We have been playing together for 12 years,,0,0,0,0
198,Caleb Bolt,Nunavut,Athlete,Table Tennis,12,128cm,42,Kugluktuk Grizzlies,Attila Csaba and Maria Csaba,,,,,,,,,,0,0,0,0
199,Maja Bonham,British Columbia,Athlete,Gymnastics,16,170,68,Shasta Trampoline,Curt DeWolff,,,,To accomplish what I'm capable of and to complete my routines to the best of my ability.,Placing third at National Championships this year.,,Rosie Maclennan and Karen Cockburn.,"I started trampoline at five years old because I loved flipping and bouncing around, and it seemed like a perfect fit.",,0,0,0,0
200,Shannan Bonnetrouge,Northwest Territories,Athlete,Table Tennis,16,167,54,,,,,,My goal is to have fun and just return shots.,Just becoming more skilled with the returns and shots.,"Academic Excellence
Principals Award
Athletic Excellence",My teachers.,I got involved because I just like the sport in general.,,0,0,0,0
201,Brae Booth,British Columbia,Athlete,Judo,17,172,70,,Jeremy Lebris,,,,Gold,,Recently received an award for outstanding female athelete in Ontario Open 2018,My mom,Started at 6 years old. My mom enrolled us and I have been involved ever since.,,1,1,0,2
202,Haldan Borglum,Alberta,Athlete,Biathlon,19,172,63,Biathlon Alberta Training Centre,Chris Halldorson,Athlete,,,To proudly represent my province.,"4th, 12.5 km Mass Start at selection trials for World Youth/Junior Championships (Whistler, BC), 7 Jan 2018","Selected for an international sport exchange with
Alberta’s sister province; Gangwon, South Korea.","My Dad, mentors I've had throughout my life, and people I think of as successful.","When I decided to stop doing Nordic Combined (ski jumping and cross country skiing), I was recommended Biathlon so I decided to try it out and took a liking to it.",,0,1,1,2
203,Jordan Mark Bortis,Saskatchewan,Athlete,Wheelchair Basketball,18,195,,,Katie Miyazaki,,,,Come out with a positive attitude and help my team be successful!,,,,,,0,0,0,0
204,Davey Boschmann,Saskatchewan,Athlete,Gymnastics,17,160,56,,Markos,,,,Team and individual medals,Austria Furture Cup I placed 6th AA and 2nd on the parallel bars with personal bests for both,Keith Carter award in Manitoba,Kyle Shewfelt because he was the first Canadian to get a gold medal at the Olympics and it showed me to work hard and really pay attention to details,My parents noticed I had good balance and was very flexible as a kid so they put me in gymnastics and I’ve loved it ever since,,0,0,0,0
205,Jolaine Katryne Bossé,New Brunswick,Athlete,Alpine Skiing,17,168,56,Mont Farlagne Racing Team,Eric Aucoin and Paul Levesque,,,,Finish in the top 30 and have fun!!,"Ski Cross-2nd position
Super G-1st position
GS-1st position
Slalom-1st position","2018-Awarded the New Brunswick Cup (top U18 racer)
2017-Awarded the New Brunswick Cup (2nd top U16 racer)
2015-Awarded Fastest U14 GS Scaravelli Cup",My parents.,"My older sister was a ski racer.
My brother Samuel is also representing NB Team at the 2019 Canada Winter Games in Alpine Ski.",,0,0,0,0
206,Samuel Alexandre Bossé,New Brunswick,Athlete,Alpine Skiing,15,171,65,Mont Farlagne Racing Team,Eric Aucoin and Paul Levesque,,,,"Finish all my runs, be in the top 20 and have fun!","2018
Ski Cross- 1st position
Slalom- 1st position
GS-2nd position","2018-NB Junior Champion Soccer AAA U16-Awarded Best Academic and Sport Performance
2018-Selected for the Rising Star Ski Camp in Panorama, BC
2018-Awarded the New Brunswick Cup (top U16 Racer)
2017-Awarded the New Brunswick Cup (top U14 Racer)
2017-Awarded the Atlantic Cup (top U14 Racer)
2015-Awarded the New Brunswick Cup (top U12 Racer)
2015-Awarded the Atlantic Cup (top U12 Racer)
2015-Awarded Top Male Slalom Founders Cup and 3rd position GS
2015-Awarded Top Male Ski Cross Cranberry Cup",My dad,"My sisters were ski racers and I also got involved in ski racing.
My sister Jolaine is also competing at the 2019 Canada Games has a ski racer with NB Team.",,0,0,0,0
207,Gabrielle Bosshard,New Brunswick,Athlete,Alpine Skiing,17,167cm,56.7 kg,Poley Mountain Racing Club,Ian Banks,,,,To give all my efforts on race day and perform to my best ability.,"2nd in Giant Slalom
2nd in Slalom
2nd in Ski Cross","U16 New Brunswick Cup 2017 (3rd)
Selected to participate in the Mike & Manny ski camp at Whistler.",,"My family skis so it was natural that I started skiing. My parents are both instructors (CSIA L3) and coaches (Dad is CSCF L2; Mom is L1) and my grandparents are as well - Grandfather (Hans) is CSIA L3, CSCF L2; Grandmother is CSIA L2, CSCF L1",,0,0,0,0
208,Alex Boucher,Alberta,Athlete,Gymnastics,16,168,,National Sport School,Stephen Hauck,,,,Personally to meet as many new friends from around the country; sport specific - I want to compete a clean routine and place in finals.,"Pacific Rim Championships in Columbia - personal best score
World Age Group Championships in Russia - personal best level of difficulty (DD)","Calgary Gymnastics Centre 2017/18 Athlete of the Year
Alberta Gymnastics Federation 2017/18 Athlete of the Year
Gymnastics Canada - named as Jr. National Team member",,"When I was 4 I was taking a fun/recreational gymnastics program and one of the coaches approached my mom and shared that I had ""natural arial awareness, particularly while upside down"". I was invited to try out the pre-competitive program and I loved it! I was hooked and started competing competitively at age 8.",,0,1,0,1
209,Kael Boucher,New Brunswick,Athlete,Badminton,20,195.5,84,,,,,,,,,,,,0,0,0,0
210,Noah Boucher,New Brunswick,Athlete,Squash,15,177,70.3,Squash NB team,Justin Saulnier,,,,My goal is to make my province and my teammates proud.,,,,I got involved in squash by chance. My parents registered me for a summer camp at the club. Coach (Jan) recruited me gave me one on one sessions and introduced me to the junior program.,,0,0,0,0
211,Jasmine Boucley,Quebec,Athlete,Squash,17,168,65,Club Sportif MAA,Yvon Provencal,squash,,,J'aimerais faire en sorte que mon équipe se classe dans le top 8 dans la compétition par équipe.,7ème dans la compétition par équipe aux Jeux de Canada 2015.,,Camille Serme,"Mon grand frère jouait déja au squash, alors j'était toujours dans les clubs de squash et au tournois de squash et je voulait moi aussi jouer.",,0,0,0,0
212,Annick Boudreau,New Brunswick,Athlete,Hockey,16,162.5,62,Northern Lightning (Midget AAA girls) High school boys affiliate,Eric Ploudre,Goalie,,,"My goals for the Games are to be at my best performance and athletic fitness ever, to continue to give my 100%, to be a team player, to be focused and ready to enjoy every minute of the Games and most of all, to come home with a medal.",Atlantic Challenge Cup gold medal game 2017 and Peewee AAA Quebec international tournament silver medal winner and MVP of the game 2015.,"Rookie all star goalie of the year, 2017-2018 Midget AAA season with the Moncton Rockets, in the Nova Scotia Female Hockey League.",Charline Labonte,I've always been an active person and was introduced to Ringuette at 4yrs old (I couldn't play hockey till I was 5yrs old)and always wanted to be in net. The next year I went to hockey and never looked back. As soon as I was allowed to have a permanent position as a goalie I took it. Being in net is my place I love being a goalie.,,0,0,0,0
213,Lucas William Boudreau,Prince Edward Island,Athlete,Cross Country Skiing,21,188,190,,Judy Hale,,,,"Big power, big speed","I mean I'm a biathlete the xc is all pretty knew to me,",Pei junior male.athlete of the year,Mark Arendz,Through cadets,,0,0,0,0
214,Alex Bougie,Quebec,Athlete,Wheelchair Basketball,17,190,90,Civa,Nicolas Palmer,Basket ball en fauteuil roulant,,,"J'aimerais que comme premier jeux du Canada on gagne une médaille or, mais tout en s'amusant.",,,Certains joueurs de mon équipe sont des sources inspiration depuis longtemps!,Ma famille proche pratiquait le sport et elle m'a montré le sport.,,0,0,1,1
215,Ben Boulanger,Alberta,Athlete,Squash,16,175,66,,David Duncalf,,,,"- Win a gold medal for Team Alberta
- Make new friends from all over Canada
- Represent my province to the best of my ability with great teammates and coaches",,,,,,0,0,1,1
216,Cameron Phillip Boulter,Nova Scotia,Athlete,Figure Skating,13,5 feet,89 lbs,Mariposa East Skating Club,Angie Coady-Pennington,,,,Personal Best,,At sectionals in November 2018 Cameron was awarded the Francis Glenwright award for the most artistic performance of the competition.,Yuzuru Hanyu and Patrick Chan,Started taking skating lessons because his younger brother was skating with the local club in Lethbridge Alberta and thought it would help with hockey. Although Cameron played Peewee AAA hockey last year he decided to step back from hockey to focus on figure skating.,,0,0,0,0
217,Emanuel Boulutfallah,Quebec,Athlete,Figure Skating,24,,74 KG,,Louise Gagné,Olympique Spéciaux,,,"Bien performer, s'amuser et terminer top 3",,,Mon entraîneur,Mon frère patinait et j'ai vu Émile Baz qui m'a beaucoup inspiré à commencer.,,1,0,0,1
218,Noah Bouma,Ontario,Athlete,Speed Skating,19,175,66,Ottawa Pacers,Mike Rivet,,,,My goals for the games are to skate my hardest and to be a good representative of team Ontario.,"My favourite events are the 1000m and 1500m.

500m - 38.80
1000m - 1.14,94
1500m - 1.55,69
5000m - 7.24,35",,"I wouldn't say that I just have a single role model ,but would instead say that I am inspired by a group of people who came from similar roots and made it to the international scene. Vincent De Haitre, Isabelle Weideman and Jake Weideman, Just to name a few.",The moment that really got me interested into the sport of speed skating is when I watched the 2010 Vancouver Olympics. I found the sport so cool and was really inspired by the performance of team Canada. This is when I knew I wanted to be a speed skater and take as far as possible.,,0,0,1,1
219,Jacob Bourassa,Saskatchewan,Athlete,Archery,16,175,66,Frontier Bowmen,"Harvey Giesbrecht, Keith Partridge, Mike Kupchanko",,,,Medal in both the individual and the team events.,297/300 outside of competition and 294/300 in competition.,2017 Junior Male athlete of the Year.,"Harvey Giesbrecht, Keith Partridge, Mike Kupchanko, for coaching and shooting.",A bow was the closest thing to a gun that I was allowed to shoot and after I started I could not stop.,,0,0,2,2
